sentence,label
"One Lakshminarayana Iyer, a Hindu Brahmin, who owned considerable properties in the Tirunelveli district, died on 13th December, 1924, leaving him surviving a widow Ranganayaki, and a married daughter Ramalakshmi",Facts
Ramalakshmi had married the plaintiff and had a number of children from him,Facts
"They were all alive in December, 1924, when Lakshminarayana died",Facts
"Before his death he executed a will on 16th November, 1924, the construction of which is in controversy in this appeal",Ratio of the decision
"By this will he gave the following directions -- ""After my lifetime, you, the aforesaid Ranganayaki Amminal, my wife, shall till your lifetime, enjoy the aforesaid entire properties, the outstandings due to me, the debts payable by me, and the chit amounts payable by me",Facts
"After your lifetime Ramalakshmi Ammal, our daughter and wife of Rama Ayyar Avergal of Melagaram village, and her heirs shall enjoy them with absolute rights and powers of alienation such as gift, exchange, and sale from son to grandson and so on for generations",Facts
"As regards the payment of maintenance to be made to Chinnanmal alias Lakshmi Ammal, wife of my late son Hariharamayyan, my wife Ranganayaki Ammal shall pay the same as she pleases, and obtain a release deed",Facts
Ranganayaki entered into possession of the properties on the death of her husband,Facts
"On 21st February, 1928, she settled the maintenance claim of Lakshmi Ammal and obtained a deed of release from her by paying her a sum of Rs",Facts
"3,350 in cash and by executing in her favour an agreement stipulating to pay her a sum of Rs",Facts
240 per annum,Facts
"Ramalakshmi died on 25th April, 1938 during the lifetime of the widow",Facts
None of her children survived her,Facts
"On the 24th July, 1945, the widow describing herself as an absolute owner of the properties of her husband sold one of the items of the property to the 2nd defendant for Rs. 500",Facts
"On the 18th September, 1945, the suit out of which this appeal arises was instituted by the plaintiff, the husband and the sole heir of Ramalakshmi, for a declaration that the said sale would not be binding on him beyond the lifetime of the widow",Facts
A prayer was made that the widow be restrained from alienating the other properties in her possession,Facts
"On the 19th September, 1945, an ad interim injunction was issued by the High Court restraining the widow from alienating the properties in her possession and forming part of her husband's estate, Inspite of this injunction, on the 27th September, 1945, she executed two deeds of settlement in favour of the other defendants comprising a number of properties",Facts
The plaintiff was allowed to amend his plaint and include therein a prayer for a declaration in respect of the invalidity of these alienations as well,Facts
It was averred in the plaint that Ramalakshmi obtained a vested interest in the suit -properties under the will of her father and plaintiff was thus entitled to maintain the suit,Facts
"The defendants pleaded that the plaintiff had no title to maintain the suit, that the widow was entitled under the will to an absolute estate or at least to an estate analogous to and not less than a widow's estate, that the estate given to Ramalakshmi under the will was but a contingent one and she having predeceased the widow, no interest in the suit properties devolved on the plaintiff",Facts
"The main issue in the suit was whether- the widow took under the will an absolute estate or an estate like the Hindu widow's estate and whether the daughter's interest therein was in the nature of a contingent remainder, or whether she got in the properties a vested interest",Facts
"The subordinate judge held that the widow took under the will a limited life, interest, and not an absolute estate or even a widow's estate under Hindu law, and that the daughter got there under a vested interest in the properties to which the plaintiff succeeded on her death",Ruling by Lower Court
In view of this finding he granted the plaintiff a declaratory decree to the effect that the first defendant had only an estate for life in the suit properties and that the alienations made by her would not endure beyond her lifetime,Ruling by Lower Court
The question as to the validity of the alienations was left undetermined,Facts
The unsuccessful defendants preferred an appeal against this decree to the High Court of Judicature at Madras,Facts
"During the pendency of the appeal the widow died on 14th February, 1948",Facts
The High Court by its judgment under appeal affirmed the decision of the trial judge and maintained his view on the construction of the will,Facts
"Leave to appeal to the Supreme Court was granted and the appeal was admitted on the 27th November, 1951",Facts
The substantial question to decide in the appeal is whether the estate granted by the testator to his widow was a fall woman's estate under Hindu law or merely a limited life estate in the English sense of that expression,Ratio of the decision
"It was not contested before us that a Hindu can by will create a life estate, or successive life estates, or any other estate for a limited term, provided the donee or the persons taking under it are capable of taking under a deed or will",Ratio of the decision
"The decision of the appeal thus turns upon the question whether the testator's intention was to give to his widow ail ordinary life, estate or an estate analogous to that of a Hindu widow",Ratio of the decision
"At one time it was a moot point whether a Hindu widow's estate could be created by will, it being an estate created by law, but it is now settled that a Hindu can confer by means of a will oil his widow the same estate which she would get by inheritance",Ratio of the decision
The widow in such a case takes as a demise and not as an heir,Ratio of the decision
"The court's primary duty in such cases is to ascertain from the language employed by the testator ""what were his intentions"", keeping in view the surrounding circumstances, his ordinary notions as a Hindu in respect to devolution of his property, his family relationships etc",Ratio of the decision
"in other words, to ascertain his wishes by putting itself, so to say, in his armchair",Ratio of the decision
"Considering the will in the light of these principles,it seems to us that Lakshminarayan Iyer intended by his will to direct that his entire properties should be enjoyed by his widow during her lifetime but her interest in these properties should come to an end on her death, that all these properties in their entirety should thereafter be enjoyed as absolute owners by his daughter and her heirs with powers of alienation, gift, exchange and sale from generation to generation",Ratio of the decision
"He wished to make his daughter a fresh stock of descent so that her issue, male or female, may have the benefit of his property",Ratio of the decision
They were the real persons whom he earmarked with certainty as the ultimate recipients of his bounty,Ratio of the decision
"In express terms he conferred on his daughter powers of alienation byway of gift, exchange, sale, but in sharp contrast to this, on his widow he conferred no such powers",Ratio of the decision
The direction to her was that she should enjoy the entire properties including the outstandings etc,Ratio of the decision
and these shall thereafter pass to her daughters,Ratio of the decision
"Though no restraint in express terms was put on her powers of alienation in case of necessity, even that limited power was not given to her in express terms",Ratio of the decision
"If the testator had before his mind's eye his daughter and her heirs as the ultimate beneficiaries of his bounty, that intention could only be achieved by giving to the widow a limited estate, because by conferring a full Hindu widow's estate on her the daughter will, only have a mere spes successions under the Hindu law which may or may not mature and under the will her interest would Only be a contingent one in what was left indisposed of by the widow",Ratio of the decision
It is significant that the testator did not say in the will that the daughter will enjoy only the properties left indisposed of by the widow,Ratio of the decision
"The extent of the grant, so far as the properties mentioned in the schedule are concerned, to the daughter and the widow is the same",Ratio of the decision
Just as the widow was directed to enjoy tile entire properties mentioned in the schedule during her lifetime in like manner the daughter and her heirs were also directed to enjoy the same properties with absolute rights from generation to generation,Ratio of the decision
They could not enjoy the same properties in the manner directed if the widow had a full Hindu widow's estate and had the power for any purpose to dispose of them and did so,Ratio of the decision
"If that was the intention, the testator would clearly have said that the daughter would only take the properties remaining after the death of the widow",Ratio of the decision
"The widow cannot be held to have been given a full Hindu widow's estate under the will unless it can be said that under its terms she was given the power of alienation for necessary purposes, whether in express terms or by necessary implication",Ratio of the decision
"As above pointed out, admittedly power of alienation in express terms was not conferred on her",Ratio of the decision
"It was argued that such a power was implicit within the acts she was authorized to do, that is to say, when she was directed to pay the debts and settle the maintenance of Ramalakshmi it was implicit within these directions that for these purposes, if necessity arose, she could alienate the properties",Argument
This suggestion in the surrounding circumstances attending the execution of this will cannot be sustained,Ruling by Present Court
The properties disposed of by the will and mentioned in the schedule were considerable in extent and it seems that they fetched sufficient income to enable the widow to fulfil the obligations under the will,Ratio of the decision
Indeed we find that within four years of the death of the testator the widow was able to pay a lump sum of Rs,Ratio of the decision
"3,350 in cash to the daughter-in-law without alienating any part of the immovable properties and presumably by this time she had discharged all the debts",Ratio of the decision
"It is not shown that she alienated a single item of immovable property till the year 1945, a period of over 21 years after the death of her husband, excepting one, which she alienated in the year 1937 to raise a sum of Rs",Ratio of the decision
"1,000 in order to buy some land",Ratio of the decision
By this transaction she substituted one property by another,Ratio of the decision
"For the purpose of her maintenance, for payment of debts etc., and for settling the claim of the daughter-in-law she does not appear to have felt any necessity to make any alienation of any part of the estate mentioned in the schedule and the testator in all likelihood knew that she could fulfil these obligations without having recourse to alienations and hence he did not give her any power to do so",Ratio of the decision
In this situation the inference that the testator must have of necessity intended to confer on the widow power of alienation for those limited purposes cannot be raised,Ratio of the decision
"In our opinion, even if that suggestion is accepted that for the limited purposes mentioned in the will the widow could alienate, this power would fall far short of the powers that a Hindu widow enjoys under Hindu law",Ratio of the decision
"Under that law she has the power to alienate the estate for the benefit of the soul of the husband, for pilgrimage and for the benefit of the estate and for other authorized purposes",Ratio of the decision
"It cannot be said that a Hindu widow can only alienate her husband's estate for payment of debts, to meet maintenance charges and for her own maintenance",Ratio of the decision
She represents the estate in all respects and enjoys very wide power except that she cannot alienate except for necessity and her necessities have to be judged on a variety of considerations,Ratio of the decision
We therefore hold that the estate conferred on Ranganayaki Ammal was more like the limited estate in the English sense of the term than like a full Hindu widow's estate in spite of the directions above- mentioned,Ruling by Present Court
She had complete control over the income of the property during her lifetime,Ratio of the decision
but she had no power to deal with the corpus of the estate,Ratio of the decision
and it had to be kept intact for the enjoyment of the daughter,Ratio of the decision
